id,ab_resistance,shield_glycans,region,env_length
1,-0.856361708977278,4,Asia,858
2,-2,3,Asia,856
3,0.250507714793762,6,Asia,849
4,1.08477881416841,5,Asia,855
5,0.669883070401479,5,Asia,863
6,-0.276164354985185,6,Asia,864
7,-0.293272919705384,5,Asia,857
8,1.97172307838887,4,Asia,859
9,0.524383716912887,3,Asia,863
10,-0.362150184033028,5,Asia,846
11,-0.295228215895475,4,Asia,857
12,-0.0988593835235016,5,Asia,861
13,-0.338010217778404,5,Asia,861
14,-0.423140753329634,5,Asia,863
15,-0.180233903129891,5,Asia,851
16,-0.605309295282878,5,Asia,854
17,1.99294269588096,3,Asia,861
18,0.658280758426399,5,Asia,865
19,-0.253824869800821,4,Asia,859
20,0.312121093078508,5,Asia,858
21,-0.807118393554474,5,Asia,853
22,-1.18483371309212,3,Asia,863
23,-0.988508200153776,5,Asia,854
24,-1.29406906911516,4,Asia,865
25,-0.371960698285584,5,Asia,865
26,-0.247946764788212,5,Asia,857
27,0.232381421825251,5,Asia,874
28,-1.10126143601174,5,Asia,866
29,-0.440068970089038,4,Asia,863
30,-0.364798953659812,5,Asia,858
31,-0.521223667558148,5,Asia,857
32,-1.0206867228847,3,Asia,856
33,2,6,N.Africa,861
34,-0.587201037920853,5,N.Africa,847
35,0.384116642693303,4,N.Africa,872
36,-1.53892786276771,3,N.Africa,855
37,-0.738361367295007,5,Europe.Americas,853
38,-1.51992154157937,5,Europe.Americas,853
39,-0.339381643391566,6,N.Africa,866
40,1.25371568911512,6,N.Africa,866
41,-1.33360558295298,5,N.Africa,850
42,-0.687700346375432,7,N.Africa,877
43,1.90225284265022,4,N.Africa,856
44,0.525042949997255,6,N.Africa,866
45,-0.480221147125446,4,N.Africa,862
46,-0.374210953230468,5,N.Africa,864
47,1.92287550333281,4,N.Africa,875
48,-0.941305435191242,5,Europe.Americas,870
49,-0.503913237900165,5,Asia,859
50,-0.803103155791408,6,Asia,856
51,1.90990005466161,6,Asia,852
52,-0.276700690374361,5,Asia,863
53,1.04752843175338,5,Asia,874
54,-0.706421028190404,6,Asia,861
55,0.242400487514319,5,Asia,861
56,0.489677079099625,6,Asia,856
57,-0.573664483616723,6,Asia,859
58,0.372299850993482,7,Asia,871
59,-1.11839719915962,5,Asia,856
60,-0.103561274990537,5,Asia,863
61,0.538053834047952,5,Asia,860
62,-0.39253652702503,5,Asia,870
63,-0.650791719400446,5,Asia,852
64,0.822413299779483,5,Asia,847
65,-0.34677808540007,6,Asia,862
66,-0.299529468046111,6,Asia,852
67,0.748336059338206,3,Asia,849
68,0.765920580068346,4,Asia,849
69,0.65358828291863,4,Asia,849
70,0.376782575535316,3,Asia,849
71,0.574208246661057,4,Asia,849
72,0.323785784075795,4,Asia,849
73,0.635522279452099,4,Asia,849
74,0.637347013203151,4,Asia,849
75,0.835822298453308,2,Asia,849
76,0.792380789422696,3,Asia,849
77,0.657278901749734,4,Asia,849
78,0.534262561879618,3,Asia,849
79,0.720842963667457,3,Asia,849
80,0.570535791360566,3,Asia,849
81,0.518242238176825,2,Asia,849
82,0.682906495821083,3,Asia,849
83,0.722937317121403,4,Asia,849
84,0.750319785974505,3,Asia,849
85,0.631626731131886,4,Asia,849
86,-0.610866917363417,5,Asia,872
87,-0.674067701950025,5,Asia,853
88,-0.149429354420409,4,Asia,866
89,0.511794894311504,6,Asia,876
90,1.48461408855278,5,Asia,877
91,-0.527848248504426,7,Asia,866
92,-0.670257877132268,7,Asia,866
93,-0.957116155394494,6,Asia,857
94,-0.397512997297505,5,Europe.Americas,861
95,-0.773103358914747,5,Europe.Americas,861
96,-0.469370751109916,4,N.Africa,862
97,0.148622203643261,6,N.Africa,849
98,-0.298252118188454,5,N.Africa,864
99,-0.551379123444678,6,N.Africa,860
100,-0.814425386517298,5,N.Africa,860
101,-0.562271530891015,4,N.Africa,857
102,-0.484251351202426,6,N.Africa,853
103,-0.969658526249164,4,N.Africa,850
104,-1.7646940831651,6,N.Africa,865
105,2,5,N.Africa,856
106,2,5,N.Africa,856
107,2,5,N.Africa,856
108,-1.71166763526832,6,N.Africa,837
109,-0.681357292753815,6,N.Africa,874
110,-0.988608001770077,6,N.Africa,845
111,-0.986033523842898,6,N.Africa,838
112,-0.677402861436146,6,N.Africa,838
113,-1.15653829427135,5,N.Africa,865
114,-1.31854146859,6,N.Africa,865
115,-1.0061505647262,5,N.Africa,865
116,-0.895295413078829,6,N.Africa,865
117,-1.40690176922661,5,N.Africa,848
118,-0.687855775668867,5,N.Africa,841
119,-1.25107842708705,5,N.Africa,859
120,-0.197247023989599,4,N.Africa,856
121,0.510127748839274,6,N.Africa,854
122,-0.041145061706615,4,N.Africa,859
123,-0.578390144463207,6,N.Africa,856
124,-1.15563535369912,2,N.Africa,867
125,-1.28076742787722,6,N.Africa,861
126,-0.668823095619544,6,N.Africa,861
127,-0.795023459414869,6,N.Africa,875
128,-0.299256914373529,5,N.Africa,858
129,-0.465655324423248,4,N.Africa,858
130,-0.962858829397001,6,N.Africa,861
131,-0.735475158229872,7,N.Africa,856
132,-0.309810028745115,4,N.Africa,867
133,-0.882072519130155,7,N.Africa,861
134,0.0154598043046043,3,N.Africa,862
135,-0.771864643562495,5,N.Africa,876
136,-0.476395978828882,4,N.Africa,859
