id,ab_resistance,shield_glycans,region,env_length
1,-0.920818753952375,3,Asia,858
2,-2,3,Asia,856
3,0.382452920301996,5,Asia,849
4,0.963239893141563,4,Asia,855
5,0.615530276215794,4,Asia,863
6,-0.274308836268651,5,Asia,864
7,-0.267606240177031,4,Asia,857
8,2,4,Asia,859
9,0.528608215963581,3,Asia,863
10,-0.413660291245752,5,Asia,846
11,-0.296055521504495,4,Asia,857
12,-0.187601420248408,5,Asia,861
13,-0.373659632624958,5,Asia,861
14,-0.485385846532016,4,Asia,863
15,-0.168571780291891,5,Asia,851
16,-0.494850021680094,4,Asia,854
17,2,2,Asia,861
18,0.602059991327962,5,Asia,865
19,-0.210419287835575,4,Asia,859
20,0.23155623678893,5,Asia,858
21,-0.701277886394292,5,Asia,853
22,-1.09178314691061,3,Asia,863
23,-0.953660944395191,4,Asia,854
24,-1.38721614328026,3,Asia,865
25,-0.288192770958809,4,Asia,865
26,-0.265080216127307,4,Asia,857
27,0.21274942573102,5,Asia,874
28,-1.07572071393812,4,Asia,866
29,-0.489589051989823,4,Asia,863
30,-0.333482019445119,5,Asia,858
31,-0.48976339473661,5,Asia,857
32,-0.886691850081613,3,Asia,856
33,2,5,N.Africa,861
34,-0.609488801648582,4,N.Africa,847
35,0.340259649246172,4,N.Africa,872
36,-1.55284196865778,3,N.Africa,855
37,-0.795880017344075,5,Europe.Americas,853
38,-1.52287874528034,4,Europe.Americas,853
39,-0.354833273160136,5,N.Africa,866
40,1.2158349732044,5,N.Africa,866
41,-1.35644863143705,4,N.Africa,850
42,-0.682479872715191,6,N.Africa,877
43,1.95340199971093,3,N.Africa,856
44,0.532324966651428,5,N.Africa,866
45,-0.385092242966588,4,N.Africa,862
46,-0.341730966567969,4,N.Africa,864
47,2,4,N.Africa,875
48,-0.971062922929322,5,Europe.Americas,870
49,-0.460923901207223,5,Asia,859
50,-0.744727494896694,5,Asia,856
51,1.924742501084,6,Asia,852
52,-0.317737562598051,4,Asia,863
53,1.05901101673262,5,Asia,874
54,-0.638272163982407,5,Asia,861
55,0.278753600952829,5,Asia,861
56,0.591064607026499,5,Asia,856
57,-0.607690040107181,5,Asia,859
58,0.431363764158987,6,Asia,871
59,-1.13578566953867,5,Asia,856
60,-0.0377917194062082,5,Asia,863
61,0.572287117828317,5,Asia,860
62,-0.28642546222793,5,Asia,870
63,-0.610656688747922,5,Asia,852
64,0.917494481378525,5,Asia,847
65,-0.355935793856821,5,Asia,862
66,-0.244125144327509,5,Asia,852
67,0.740362689494244,3,Asia,849
68,0.714162046098853,3,Asia,849
69,0.707570176097936,3,Asia,849
70,0.371990911464915,2,Asia,849
71,0.57978359661681,3,Asia,849
72,0.367355921026019,3,Asia,849
73,0.690107439456331,3,Asia,849
74,0.736874361648423,3,Asia,849
75,0.754195388189838,2,Asia,849
76,0.761702367541413,3,Asia,849
77,0.718501688867274,3,Asia,849
78,0.614897216033135,3,Asia,849
79,0.697839368218363,3,Asia,849
80,0.537819095073274,3,Asia,849
81,0.5056925074122,2,Asia,849
82,0.734879802792628,3,Asia,849
83,0.732232880220498,3,Asia,849
84,0.714162046098853,3,Asia,849
85,0.693375151025185,3,Asia,849
86,-0.568636235841013,4,Asia,872
87,-0.721246399047171,5,Asia,853
88,-0.183758700008217,4,Asia,866
89,0.481442628502305,5,Asia,876
90,1.46269740810172,5,Asia,877
91,-0.508638306165727,6,Asia,866
92,-0.667561540084395,6,Asia,866
93,-0.983802646487561,5,Asia,857
94,-0.443697499232713,5,Europe.Americas,861
95,-0.787812395596042,5,Europe.Americas,861
96,-0.485452247339714,3,N.Africa,862
97,0.0767132446900251,5,N.Africa,849
98,-0.30189945437661,5,N.Africa,864
99,-0.54236028617032,5,N.Africa,860
100,-0.853871964321762,4,N.Africa,860
101,-0.552841968657781,3,N.Africa,857
102,-0.466927339951188,5,N.Africa,853
103,-0.988344989275222,4,N.Africa,850
104,-1.71503022839969,6,N.Africa,865
105,2,4,N.Africa,856
106,2,4,N.Africa,856
107,2,4,N.Africa,856
108,-1.77546693739391,5,N.Africa,837
109,-0.585026652029182,5,N.Africa,874
110,-0.951131104260069,5,N.Africa,845
111,-0.897703533846399,5,N.Africa,838
112,-0.769551078621726,5,N.Africa,838
113,-1.22184874961636,5,N.Africa,865
114,-1.30102999566398,5,N.Africa,865
115,-0.920818753952375,4,N.Africa,865
116,-0.958607314841775,5,N.Africa,865
117,-1.39351114955735,5,N.Africa,848
118,-0.698970004336019,5,N.Africa,841
119,-1.29251498803253,4,N.Africa,859
120,-0.226989250965023,4,N.Africa,856
121,0.537819095073274,5,N.Africa,854
122,-0.113509274827518,4,N.Africa,859
123,-0.527141203774599,6,N.Africa,856
124,-1.12778543660241,2,N.Africa,867
125,-1.23634742943547,6,N.Africa,861
126,-0.602059991327962,5,N.Africa,861
127,-0.840583211783261,5,N.Africa,875
128,-0.286896041798498,4,N.Africa,858
129,-0.455386328337828,4,N.Africa,858
130,-0.954990139094176,5,N.Africa,861
131,-0.714532709539943,6,N.Africa,856
132,-0.310531307292326,4,N.Africa,867
133,-0.958607314841775,6,N.Africa,861
134,-0.0655015487564323,3,N.Africa,862
135,-0.765254999371949,5,N.Africa,876
136,-0.537602002101044,4,N.Africa,859
137,-1.07520400420209,5,N.Africa,854
138,-1.11998716163323,3,N.Africa,850
139,-0.366531544420413,4,N.Africa,854
140,-0.709342233590868,5,N.Africa,848
141,-0.346787486224656,5,N.Africa,867
142,-0.537602002101044,5,N.Africa,867
143,-0.35202077353991,5,N.Africa,867
